city,tracts
Ashland,"41029002400, 41029002200, 41029002500, 41029002100, 41029001802, 41029001801, 41029001701, 41029001900, 41029002000, 41029002300"
Baker City,"41001950300, 41001950400, 41001950200, 41001950500"
Cottage Grove,"41039001202, 41039001301, 41039001302, 41039001201"
Eagle Point,"41029001403, 41029001401, 41029001402"
Forest Grove,"41067033202, 41067033101, 41067033102, 41067032901, 41067033201, 41067032903, 41067033302, 41067033301"
Klamath Falls,"41035971400, 41035971900, 41035970902, 41035970901, 41035972000, 41035971800, 41035971100, 41035971600, 41035971500, 41035970800, 41035971700, 41035971200"
Newberg,"41071030304, 41071030303, 41071030201, 41071030202, 41071030302, 41071030102, 41071030101"
Newport,"41041951100, 41041951000, 41041950900, 41041950800, 41041951200"
North Bend,"41011000502, 41011000600, 41011000200, 41011000300, 41011000103, 41011000102, 41011000701, 41011000505, 41011000402, 41011000401, 41011000503"
Ontario,"41045970200, 41045970400, 41045970300"
Prineville,"41013950301, 41013950102, 41013950302, 41013950101, 41013950401, 41013950200"
Roseburg,"41019120001, 41019120002, 41019080001, 41019090001, 41019090002, 41019130002, 41019080002, 41019130001, 41019140000, 41019110000"
Sandy,"41005024302, 41005023401, 41005023403, 41005023404, 41005024304"
Silverton,"41047010503, 41047010502, 41047010501"
Sweet Home,"41043030401, 41043030404, 41043030403"
Tualatin,"41005020401, 41067032112, 41067031913, 41067032005, 41005022702, 41067031914, 41005020302, 41067030805, 41067032104, 41067032107, 41067032001, 41067032108, 41067032110, 41067032109, 41067032004, 41067032003"
West Linn,"41005022301, 41005021700, 41005022400, 41005020700, 41005022702, 41005020506, 41005020602, 41005020507, 41005020601, 41005022501, 41005022602, 41005020504, 41005020505"
